emoji,description,version,keywords,category,group,subgroup,parent,components
🧑🏽‍🦽‍➡️,"person in manual wheelchair: medium skin tone, facing right",15.1,accessibility|facing|manual|medium skin tone|person|right|wheelchair,person-people,people-body,person-activity,🧑‍🦽‍➡️,🏽
🧑🏾‍🦽‍➡️,"person in manual wheelchair: medium-dark skin tone, facing right",15.1,accessibility|facing|manual|medium-dark skin tone|person|right|wheelchair,person-people,people-body,person-activity,🧑‍🦽‍➡️,🏾
🧑🏿‍🦽‍➡️,"person in manual wheelchair: dark skin tone, facing right",15.1,accessibility|dark skin tone|facing|manual|person|right|wheelchair,person-people,people-body,person-activity,🧑‍🦽‍➡️,🏿
👨‍🦽,"man in manual wheelchair",12.0,accessibility|man|manual|wheelchair,person-people,people-body,person-activity,,
👨🏻‍🦽,"man in manual wheelchair: light skin tone",12.0,accessibility|light skin tone|man|manual|wheelchair,person-people,people-body,person-activity,👨‍🦽,🏻
👨🏼‍🦽,"man in manual wheelchair: medium-light skin tone",12.0,accessibility|man|manual|medium-light skin tone|wheelchair,person-people,people-body,person-activity,👨‍🦽,🏼
👨🏽‍🦽,"man in manual wheelchair: medium skin tone",12.0,accessibility|man|manual|medium skin tone|wheelchair,person-people,people-body,person-activity,👨‍🦽,🏽
👨🏾‍🦽,"man in manual wheelchair: medium-dark skin tone",12.0,accessibility|man|manual|medium-dark skin tone|wheelchair,person-people,people-body,person-activity,👨‍🦽,🏾
👨🏿‍🦽,"man in manual wheelchair: dark skin tone",12.0,accessibility|dark skin tone|man|manual|wheelchair,person-people,people-body,person-activity,👨‍🦽,🏿
👨‍🦽‍➡️,"man in manual wheelchair: facing right",15.1,accessibility|facing|man|manual|right|wheelchair,person-people,people-body,person-activity,,
👨🏻‍🦽‍➡️,"man in manual wheelchair: light skin tone, facing right",15.1,accessibility|facing|light skin tone|man|manual|right|wheelchair,person-people,people-body,person-activity,👨‍🦽‍➡️,🏻
👨🏼‍🦽‍➡️,"man in manual wheelchair: medium-light skin tone, facing right",15.1,accessibility|facing|man|manual|medium-light skin tone|right|wheelchair,person-people,people-body,person-activity,👨‍🦽‍➡️,🏼
👨🏽‍🦽‍➡️,"man in manual wheelchair: medium skin tone, facing right",15.1,accessibility|facing|man|manual|medium skin tone|right|wheelchair,person-people,people-body,person-activity,👨‍🦽‍➡️,🏽
👨🏾‍🦽‍➡️,"man in manual wheelchair: medium-dark skin tone, facing right",15.1,accessibility|facing|man|manual|medium-dark skin tone|right|wheelchair,person-people,people-body,person-activity,👨‍🦽‍➡️,🏾
👨🏿‍🦽‍➡️,"man in manual wheelchair: dark skin tone, facing right",15.1,accessibility|dark skin tone|facing|man|manual|right|wheelchair,person-people,people-body,person-activity,👨‍🦽‍➡️,🏿
👩‍🦽,"woman in manual wheelchair",12.0,accessibility|manual|wheelchair|woman,person-people,people-body,person-activity,,
👩🏻‍🦽,"woman in manual wheelchair: light skin tone",12.0,accessibility|light skin tone|manual|wheelchair|woman,person-people,people-body,person-activity,👩‍🦽,🏻
👩🏼‍🦽,"woman in manual wheelchair: medium-light skin tone",12.0,accessibility|manual|medium-light skin tone|wheelchair|woman,person-people,people-body,person-activity,👩‍🦽,🏼
👩🏽‍🦽,"woman in manual wheelchair: medium skin tone",12.0,accessibility|manual|medium skin tone|wheelchair|woman,person-people,people-body,person-activity,👩‍🦽,🏽
👩🏾‍🦽,"woman in manual wheelchair: medium-dark skin tone",12.0,accessibility|manual|medium-dark skin tone|wheelchair|woman,person-people,people-body,person-activity,👩‍🦽,🏾
👩🏿‍🦽,"woman in manual wheelchair: dark skin tone",12.0,accessibility|dark skin tone|manual|wheelchair|woman,person-people,people-body,person-activity,👩‍🦽,🏿
👩‍🦽‍➡️,"woman in manual wheelchair: facing right",15.1,accessibility|facing|manual|right|wheelchair|woman,person-people,people-body,person-activity,,
👩🏻‍🦽‍➡️,"woman in manual wheelchair: light skin tone, facing right",15.1,accessibility|facing|light skin tone|manual|right|wheelchair|woman,person-people,people-body,person-activity,👩‍🦽‍➡️,🏻
👩🏼‍🦽‍➡️,"woman in manual wheelchair: medium-light skin tone, facing right",15.1,accessibility|facing|manual|medium-light skin tone|right|wheelchair|woman,person-people,people-body,person-activity,👩‍🦽‍➡️,🏼
👩🏽‍🦽‍➡️,"woman in manual wheelchair: medium skin tone, facing right",15.1,accessibility|facing|manual|medium skin tone|right|wheelchair|woman,person-people,people-body,person-activity,👩‍🦽‍➡️,🏽
👩🏾‍🦽‍➡️,"woman in manual wheelchair: medium-dark skin tone, facing right",15.1,accessibility|facing|manual|medium-dark skin tone|right|wheelchair|woman,person-people,people-body,person-activity,👩‍🦽‍➡️,🏾
👩🏿‍🦽‍➡️,"woman in manual wheelchair: dark skin tone, facing right",15.1,accessibility|dark skin tone|facing|manual|right|wheelchair|woman,person-people,people-body,person-activity,👩‍🦽‍➡️,🏿
🏃,"person running",0.6,fast|hurry|marathon|move|person|quick|race|racing|run|rush|speed,person-people,people-body,person-activity,,
